x y z dist_scaled dist_frac flux_norm
-0.38554 0.04942 0.31835 0.50243 0.00000 0.911
-0.38611 0.04949 0.31882 0.50317 0.00188 1.005
-0.38668 0.04956 0.31929 0.50391 0.00375 0.985
-0.38725 0.04964 0.31977 0.50466 0.00563 0.976
-0.38783 0.04971 0.32024 0.50540 0.00750 0.888
-0.38840 0.04978 0.32071 0.50615 0.00938 1.016
-0.38897 0.04986 0.32118 0.50689 0.01126 0.933
-0.38954 0.04993 0.32165 0.50763 0.01313 1.012
-0.39011 0.05000 0.32212 0.50838 0.01501 1.209
-0.39068 0.05008 0.32259 0.50912 0.01689 1.151
-0.39125 0.05015 0.32307 0.50987 0.01876 0.827
-0.39182 0.05022 0.32354 0.51061 0.02064 1.000
-0.39239 0.05030 0.32401 0.51136 0.02252 1.020
-0.39297 0.05037 0.32448 0.51210 0.02440 0.927
-0.39354 0.05044 0.32495 0.51285 0.02627 0.976
-0.39411 0.05052 0.32542 0.51359 0.02815 1.025
-0.39468 0.05059 0.32590 0.51433 0.03003 0.866
-0.39525 0.05066 0.32637 0.51508 0.03190 0.975
-0.39582 0.05074 0.32684 0.51582 0.03378 1.027
-0.39639 0.05081 0.32731 0.51657 0.03566 1.004
-0.39696 0.05088 0.32778 0.51731 0.03754 1.030
-0.39754 0.05096 0.32826 0.51806 0.03941 1.022
-0.39811 0.05103 0.32873 0.51880 0.04129 0.946
-0.39868 0.05110 0.32920 0.51955 0.04317 0.940
-0.39925 0.05118 0.32967 0.52029 0.04505 0.982
-0.39982 0.05125 0.33014 0.52104 0.04692 0.847
-0.40039 0.05132 0.33061 0.52178 0.04880 1.090
-0.40096 0.05140 0.33109 0.52253 0.05068 0.910
-0.40154 0.05147 0.33156 0.52327 0.05256 0.991
-0.40211 0.05154 0.33203 0.52401 0.05444 0.964
-0.40268 0.05162 0.33250 0.52476 0.05631 0.896
-0.40325 0.05169 0.33297 0.52550 0.05819 1.037
-0.40382 0.05176 0.33345 0.52625 0.06007 1.073
-0.40439 0.05183 0.33392 0.52699 0.06195 0.994
-0.40497 0.05191 0.33439 0.52774 0.06383 0.875
-0.40554 0.05198 0.33486 0.52848 0.06571 0.965
-0.40611 0.05205 0.33533 0.52923 0.06758 0.951
-0.40668 0.05213 0.33581 0.52997 0.06946 1.116
-0.40725 0.05220 0.33628 0.53072 0.07134 1.066
-0.40782 0.05227 0.33675 0.53146 0.07322 1.097
-0.40840 0.05235 0.33722 0.53221 0.07510 0.902
