x y z dist_scaled dist_frac flux_norm wavelength redshift
-0.28824 0.09775 0.39994 0.50258 0.00000 0.729 1236.115 0.01682
-0.28867 0.09789 0.40053 0.50333 0.00188 0.995 1236.145 0.01684
-0.28909 0.09804 0.40112 0.50407 0.00375 0.938 1236.175 0.01687
-0.28952 0.09818 0.40172 0.50481 0.00563 1.381 1236.205 0.01689
-0.28995 0.09833 0.40231 0.50556 0.00751 1.321 1236.235 0.01692
-0.29037 0.09847 0.40290 0.50630 0.00938 1.119 1236.265 0.01694
-0.29080 0.09862 0.40349 0.50705 0.01126 1.039 1236.295 0.01697
-0.29123 0.09876 0.40408 0.50779 0.01313 1.180 1236.325 0.01699
-0.29165 0.09890 0.40467 0.50853 0.01501 1.060 1236.355 0.01701
-0.29208 0.09905 0.40527 0.50928 0.01689 1.039 1236.384 0.01704
-0.29251 0.09919 0.40586 0.51002 0.01876 1.120 1236.414 0.01706
-0.29293 0.09934 0.40645 0.51077 0.02064 1.018 1236.444 0.01709
-0.29336 0.09948 0.40704 0.51151 0.02252 0.936 1236.474 0.01711
-0.29379 0.09963 0.40764 0.51225 0.02440 0.917 1236.504 0.01714
-0.29421 0.09977 0.40823 0.51300 0.02627 1.138 1236.534 0.01716
-0.29464 0.09992 0.40882 0.51374 0.02815 0.977 1236.564 0.01719
-0.29507 0.10006 0.40941 0.51449 0.03003 0.856 1236.594 0.01721
-0.29549 0.10021 0.41000 0.51523 0.03190 0.916 1236.623 0.01724
-0.29592 0.10035 0.41060 0.51597 0.03378 1.240 1236.653 0.01726
-0.29635 0.10050 0.41119 0.51672 0.03566 0.999 1236.683 0.01729
-0.29678 0.10064 0.41178 0.51746 0.03754 0.999 1236.713 0.01731
-0.29720 0.10079 0.41237 0.51821 0.03941 1.099 1236.743 0.01733
-0.29763 0.10093 0.41296 0.51895 0.04129 0.896 1236.773 0.01736
-0.29806 0.10108 0.41356 0.51970 0.04317 1.119 1236.803 0.01738
-0.29848 0.10122 0.41415 0.52044 0.04505 0.877 1236.833 0.01741
-0.29891 0.10137 0.41474 0.52118 0.04692 1.097 1236.862 0.01743
-0.29934 0.10151 0.41533 0.52193 0.04880 1.036 1236.892 0.01746
-0.29976 0.10165 0.41593 0.52267 0.05068 1.117 1236.922 0.01748
-0.30019 0.10180 0.41652 0.52342 0.05256 0.975 1236.952 0.01751
-0.30062 0.10194 0.41711 0.52416 0.05444 0.896 1236.982 0.01753
-0.30104 0.10209 0.41770 0.52491 0.05631 0.957 1237.012 0.01756
-0.30147 0.10223 0.41830 0.52565 0.05819 1.137 1237.042 0.01758
-0.30190 0.10238 0.41889 0.52640 0.06007 1.096 1237.072 0.01760
-0.30233 0.10252 0.41948 0.52714 0.06195 0.834 1237.101 0.01763
-0.30275 0.10267 0.42007 0.52788 0.06383 0.976 1237.131 0.01765
-0.30318 0.10281 0.42067 0.52863 0.06571 0.835 1237.161 0.01768
-0.30361 0.10296 0.42126 0.52937 0.06758 0.958 1237.191 0.01770
-0.30403 0.10310 0.42185 0.53012 0.06946 0.837 1237.221 0.01773
-0.30446 0.10325 0.42244 0.53086 0.07134 0.969 1237.251 0.01775
-0.30489 0.10339 0.42304 0.53161 0.07322 0.909 1237.281 0.01778
-0.30532 0.10354 0.42363 0.53235 0.07510 1.061 1237.311 0.01780
-0.30574 0.10368 0.42422 0.53310 0.07698 0.951 1237.341 0.01783
-0.30617 0.10383 0.42482 0.53384 0.07886 0.750 1237.370 0.01785
