x y z dist_scaled dist_frac flux_norm
0.22649 -0.21524 0.39366 0.50258 0.00000 1.116
0.22682 -0.21556 0.39424 0.50333 0.00188 1.025
0.22716 -0.21588 0.39482 0.50407 0.00375 1.172
0.22749 -0.21619 0.39540 0.50481 0.00563 1.069
0.22783 -0.21651 0.39599 0.50556 0.00751 1.046
0.22816 -0.21683 0.39657 0.50630 0.00938 1.114
0.22850 -0.21715 0.39715 0.50705 0.01126 0.921
0.22883 -0.21747 0.39773 0.50779 0.01313 0.887
0.22917 -0.21779 0.39832 0.50853 0.01501 1.011
0.22951 -0.21811 0.39890 0.50928 0.01689 0.910
0.22984 -0.21842 0.39948 0.51002 0.01876 1.000
0.23018 -0.21874 0.40006 0.51077 0.02064 1.147
0.23051 -0.21906 0.40065 0.51151 0.02252 1.035
0.23085 -0.21938 0.40123 0.51225 0.02440 0.965
0.23118 -0.21970 0.40181 0.51300 0.02627 1.055
0.23152 -0.22002 0.40240 0.51374 0.02815 1.168
0.23185 -0.22034 0.40298 0.51449 0.03003 1.122
0.23219 -0.22066 0.40356 0.51523 0.03190 0.998
0.23252 -0.22097 0.40414 0.51597 0.03378 1.032
0.23286 -0.22129 0.40473 0.51672 0.03566 0.974
0.23319 -0.22161 0.40531 0.51746 0.03754 1.166
0.23353 -0.22193 0.40589 0.51821 0.03941 1.009
0.23386 -0.22225 0.40648 0.51895 0.04129 1.030
0.23420 -0.22257 0.40706 0.51970 0.04317 0.985
0.23454 -0.22289 0.40764 0.52044 0.04505 1.064
0.23487 -0.22321 0.40823 0.52118 0.04692 1.052
0.23521 -0.22352 0.40881 0.52193 0.04880 0.837
0.23554 -0.22384 0.40939 0.52267 0.05068 0.847
0.23588 -0.22416 0.40997 0.52342 0.05256 0.791
0.23621 -0.22448 0.41056 0.52416 0.05444 0.882
0.23655 -0.22480 0.41114 0.52491 0.05631 1.004
0.23688 -0.22512 0.41172 0.52565 0.05819 0.913
0.23722 -0.22544 0.41231 0.52640 0.06007 0.959
0.23756 -0.22576 0.41289 0.52714 0.06195 1.015
0.23789 -0.22607 0.41347 0.52788 0.06383 1.013
0.23823 -0.22639 0.41406 0.52863 0.06571 0.844
0.23856 -0.22671 0.41464 0.52937 0.06758 0.922
0.23890 -0.22703 0.41522 0.53012 0.06946 1.056
0.23923 -0.22735 0.41581 0.53086 0.07134 0.921
0.23957 -0.22767 0.41639 0.53161 0.07322 0.910
0.23990 -0.22799 0.41697 0.53235 0.07510 0.864
0.24024 -0.22831 0.41756 0.53310 0.07698 1.176
0.24058 -0.22863 0.41814 0.53384 0.07886 0.975
0.24091 -0.22895 0.41872 0.53459 0.08074 0.962
0.24125 -0.22926 0.41931 0.53533 0.08261 0.962
0.24158 -0.22958 0.41989 0.53608 0.08449 0.782
0.24192 -0.22990 0.42047 0.53682 0.08637 0.961
0.24225 -0.23022 0.42106 0.53757 0.08825 0.982
0.24259 -0.23054 0.42164 0.53831 0.09013 0.947
0.24293 -0.23086 0.42222 0.53906 0.09201 1.215
0.24326 -0.23118 0.42281 0.53980 0.09389 0.880
0.24360 -0.23150 0.42339 0.54055 0.09577 0.980
0.24393 -0.23182 0.42398 0.54129 0.09765 1.058
0.24427 -0.23214 0.42456 0.54204 0.09953 1.001
0.24460 -0.23246 0.42514 0.54278 0.10141 0.978
0.24494 -0.23277 0.42573 0.54353 0.10329 0.833
0.24528 -0.23309 0.42631 0.54427 0.10517 0.810
0.24561 -0.23341 0.42689 0.54502 0.10705 1.176
0.24595 -0.23373 0.42748 0.54576 0.10893 1.131
0.24628 -0.23405 0.42806 0.54651 0.11081 1.032
0.24662 -0.23437 0.42864 0.54725 0.11269 0.954
0.24696 -0.23469 0.42923 0.54800 0.11457 0.940
0.24729 -0.23501 0.42981 0.54874 0.11645 0.986
0.24763 -0.23533 0.43040 0.54949 0.11833 1.141
0.24796 -0.23565 0.43098 0.55024 0.12021 1.119
0.24830 -0.23597 0.43156 0.55098 0.12209 1.007
0.24864 -0.23629 0.43215 0.55173 0.12397 1.105
0.24897 -0.23660 0.43273 0.55247 0.12585 0.972
0.24931 -0.23692 0.43332 0.55322 0.12773 1.005
0.24964 -0.23724 0.43390 0.55396 0.12961 1.027
0.24998 -0.23756 0.43448 0.55471 0.13149 0.928
0.25032 -0.23788 0.43507 0.55545 0.13338 0.971
0.25065 -0.23820 0.43565 0.55620 0.13526 0.981
0.25099 -0.23852 0.43624 0.55695 0.13714 0.938
0.25132 -0.23884 0.43682 0.55769 0.13902 0.937
0.25166 -0.23916 0.43740 0.55844 0.14090 0.926
0.25200 -0.23948 0.43799 0.55918 0.14278 0.827
0.25233 -0.23980 0.43857 0.55993 0.14466 1.002
0.25267 -0.24012 0.43916 0.56067 0.14654 0.903
0.25300 -0.24044 0.43974 0.56142 0.14843 1.089
0.25334 -0.24076 0.44033 0.56217 0.15031 1.177
0.25368 -0.24108 0.44091 0.56291 0.15219 0.945
0.25401 -0.24140 0.44149 0.56366 0.15407 0.978
0.25435 -0.24171 0.44208 0.56440 0.15595 0.955
0.25468 -0.24203 0.44266 0.56515 0.15783 0.999
0.25502 -0.24235 0.44325 0.56590 0.15972 0.932
0.25536 -0.24267 0.44383 0.56664 0.16160 1.184
0.25569 -0.24299 0.44442 0.56739 0.16348 1.062
0.25603 -0.24331 0.44500 0.56813 0.16536 0.986
0.25637 -0.24363 0.44558 0.56888 0.16724 0.974
0.25670 -0.24395 0.44617 0.56963 0.16913 1.179
0.25704 -0.24427 0.44675 0.57037 0.17101 1.104
0.25737 -0.24459 0.44734 0.57112 0.17289 1.071
0.25771 -0.24491 0.44792 0.57186 0.17477 0.873
0.25805 -0.24523 0.44851 0.57261 0.17665 1.047
0.25838 -0.24555 0.44909 0.57336 0.17854 1.047
0.25872 -0.24587 0.44968 0.57410 0.18042 0.785
0.25906 -0.24619 0.45026 0.57485 0.18230 1.066
0.25939 -0.24651 0.45084 0.57560 0.18419 0.914
0.25973 -0.24683 0.45143 0.57634 0.18607 0.968
0.26006 -0.24715 0.45201 0.57709 0.18795 0.827
0.26040 -0.24747 0.45260 0.57784 0.18983 0.848
0.26074 -0.24779 0.45318 0.57858 0.19172 1.010
0.26107 -0.24811 0.45377 0.57933 0.19360 0.923
0.26141 -0.24843 0.45435 0.58007 0.19548 0.933
0.26175 -0.24875 0.45494 0.58082 0.19737 0.921
0.26208 -0.24907 0.45552 0.58157 0.19925 0.954
0.26242 -0.24939 0.45611 0.58231 0.20113 0.932
0.26276 -0.24971 0.45669 0.58306 0.20302 0.866
0.26309 -0.25002 0.45728 0.58381 0.20490 0.854
0.26343 -0.25034 0.45786 0.58455 0.20678 0.898
0.26377 -0.25066 0.45845 0.58530 0.20867 1.165
0.26410 -0.25098 0.45903 0.58605 0.21055 1.057
0.26444 -0.25130 0.45962 0.58679 0.21243 0.950
0.26478 -0.25162 0.46020 0.58754 0.21432 1.079
0.26511 -0.25194 0.46079 0.58829 0.21620 0.798
0.26545 -0.25226 0.46137 0.58904 0.21809 0.979
0.26578 -0.25258 0.46196 0.58978 0.21997 1.151
0.26612 -0.25290 0.46254 0.59053 0.22185 0.947
0.26646 -0.25322 0.46313 0.59128 0.22374 0.774
0.26679 -0.25354 0.46371 0.59202 0.22562 1.095
0.26713 -0.25386 0.46430 0.59277 0.22751 0.924
0.26747 -0.25418 0.46488 0.59352 0.22939 0.998
0.26780 -0.25450 0.46547 0.59426 0.23128 0.870
0.26814 -0.25482 0.46605 0.59501 0.23316 1.029
0.26848 -0.25514 0.46664 0.59576 0.23504 0.986
0.26881 -0.25546 0.46722 0.59650 0.23693 0.750
0.26915 -0.25578 0.46781 0.59725 0.23881 0.867
0.26949 -0.25610 0.46839 0.59800 0.24070 0.783
0.26982 -0.25642 0.46898 0.59875 0.24258 0.614
0.27016 -0.25674 0.46956 0.59949 0.24447 1.027
0.27050 -0.25706 0.47015 0.60024 0.24635 0.879
0.27083 -0.25738 0.47073 0.60099 0.24824 0.803
0.27117 -0.25770 0.47132 0.60174 0.25012 1.081
0.27151 -0.25802 0.47190 0.60248 0.25201 0.864
0.27185 -0.25834 0.47249 0.60323 0.25389 0.887
0.27218 -0.25866 0.47307 0.60398 0.25578 0.816
0.27252 -0.25898 0.47366 0.60472 0.25766 0.961
0.27286 -0.25930 0.47424 0.60547 0.25955 0.930
0.27319 -0.25962 0.47483 0.60622 0.26144 0.809
0.27353 -0.25994 0.47542 0.60697 0.26332 0.807
0.27387 -0.26026 0.47600 0.60771 0.26521 1.051
0.27420 -0.26058 0.47659 0.60846 0.26709 1.076
0.27454 -0.26090 0.47717 0.60921 0.26898 0.864
0.27488 -0.26122 0.47776 0.60996 0.27086 0.846
0.27521 -0.26154 0.47834 0.61070 0.27275 0.981
0.27555 -0.26186 0.47893 0.61145 0.27464 0.970
0.27589 -0.26218 0.47951 0.61220 0.27652 0.949
0.27622 -0.26250 0.48010 0.61295 0.27841 1.042
0.27656 -0.26282 0.48069 0.61370 0.28029 0.862
0.27690 -0.26314 0.48127 0.61444 0.28218 0.957
0.27724 -0.26347 0.48186 0.61519 0.28407 0.935
0.27757 -0.26379 0.48244 0.61594 0.28595 0.914
0.27791 -0.26411 0.48303 0.61669 0.28784 1.060
0.27825 -0.26443 0.48361 0.61743 0.28973 0.755
0.27858 -0.26475 0.48420 0.61818 0.29161 0.964
0.27892 -0.26507 0.48479 0.61893 0.29350 0.860
0.27926 -0.26539 0.48537 0.61968 0.29539 0.983
0.27959 -0.26571 0.48596 0.62043 0.29727 0.982
0.27993 -0.26603 0.48654 0.62117 0.29916 1.137
0.28027 -0.26635 0.48713 0.62192 0.30105 1.074
0.28061 -0.26667 0.48772 0.62267 0.30293 0.959
0.28094 -0.26699 0.48830 0.62342 0.30482 1.343
0.28128 -0.26731 0.48889 0.62417 0.30671 1.041
0.28162 -0.26763 0.48947 0.62491 0.30859 1.101
0.28195 -0.26795 0.49006 0.62566 0.31048 0.830
0.28229 -0.26827 0.49065 0.62641 0.31237 0.913
0.28263 -0.26859 0.49123 0.62716 0.31426 1.027
0.28297 -0.26891 0.49182 0.62791 0.31614 0.985
0.28330 -0.26923 0.49240 0.62866 0.31803 1.202
0.28364 -0.26955 0.49299 0.62940 0.31992 0.890
0.28398 -0.26987 0.49358 0.63015 0.32181 1.023
0.28431 -0.27019 0.49416 0.63090 0.32369 1.158
0.28465 -0.27051 0.49475 0.63165 0.32558 0.898
